node,lat,lon,degree,pagerank,is_intersection
32927563,37.7860172,-122.390902,3,0.00020808638065327486,1
32927591,37.731371,-122.4236705,3,9.728958230403828e-05,1
32927645,37.7327065,-122.4132611,3,5.936967656429694e-05,1
33241803,37.8050417,-122.4034504,6,9.869362959164348e-05,1
33242031,37.7990541,-122.4164837,2,4.88466622330594e-05,0
54891208,37.7705805,-122.3911917,6,0.00011157512244663263,1
54891395,37.7695721,-122.3927659,6,0.00011564202074698546,1
54891397,37.7696737,-122.3911048,8,0.00014584004488834746,1
54891446,37.7711091,-122.3894111,4,7.81347635774411e-05,1
54891461,37.771278,-122.3866019,5,8.914575558674152e-05,1
54891483,37.7708625,-122.3864767,5,0.00010572957175397823,1
54891501,37.7690188,-122.3863311,6,0.00012132622462062447,1
54891569,37.7689303,-122.3876163,6,0.00011142667641858178,1
65279851,37.8053702,-122.4118788,5,6.285484006840686e-05,1
65279852,37.8051503,-122.413529,5,8.745357382136506e-05,1
65279877,37.7212302,-122.388419,2,4.208071377855393e-05,0
65279891,37.7199375,-122.3894613,7,8.26126160925794e-05,1
65279893,37.719298,-122.39002,8,0.00011204999516226562,1
65279895,37.718688,-122.390564,8,0.000126319109271625,1
65279896,37.7180602,-122.391135,8,0.00012837360683085945,1
65279897,37.7175125,-122.391593,8,0.00016255239749558606,1
65279910,37.728678,-122.381564,6,9.154988201832649e-05,1
65279912,37.728051,-122.382126,8,0.00011341942997640762,1
65279914,37.727425,-122.382687,8,0.00011219718145200136,1
65279916,37.726798,-122.383248,8,0.00011828495069623205,1
65279918,37.726171,-122.38381,6,9.639239590066527e-05,1
65279929,37.7250218,-122.3851264,2,4.357678517406304e-05,0
65279961,37.7336422,-122.376989,6,0.00011382874743598712,1
65279965,37.7330737,-122.3776537,6,0.00011392604035342036,1
65279971,37.752212,-122.4687333,6,0.00010184925884513831,1
65280002,37.7508087,-122.4690178,6,0.00011195510050057068,1
65280018,37.7508352,-122.4686316,6,0.0001196147964390258,1
65280040,37.7492161,-122.4685327,2,4.997832254938846e-05,0
65280044,37.7489418,-122.4684993,6,0.00011862438447765479,1
65280050,37.74708,-122.4683702,6,0.00013112526153911966,1
65280069,37.7863889,-122.4711296,8,0.00012568026953630208,1
65280072,37.7845276,-122.4709958,8,0.00011997149776932774,1
65280073,37.7826596,-122.4708615,8,0.00012451113963878713,1
65280076,37.778812,-122.4705849,8,0.0001267618723675358,1
