u,v,d
12498424404,1211585299,5046.816129177987
65329076,65323335,3812.600559097939
65328203,65358818,10098.17691643731
65300418,12128704816,9540.052714091784
65353303,4009068062,9379.607985458222
65325013,65307150,8641.678075765147
65303500,12450268653,7328.205040076125
65345571,65293636,5758.7841089525255
2642129716,65352311,2200.977742439061
258757620,65309721,2034.2597411059035
259139108,65330421,7903.421883403123
65350539,65306102,2457.779459449642
65292216,258910920,8618.231203841753
65354455,65296334,5364.456526698596
3810251757,65319544,4294.7622407329445
65299058,5745956404,4162.507149230883
65350993,5217784053,4731.976443806026
2841581043,4407739095,9829.69928999999
65324899,65308495,7730.512829289893
65321834,65334878,7162.2475526293865
65325041,65363384,8708.008850810913
767851341,65300486,2850.038507211874
65369295,65346036,2950.9756469719255
11260045905,5102833142,10912.439979296487
360423918,65372728,7130.933723806328
4944670427,65325786,5221.206408415105
65349699,65297926,10009.037708402071
1712572413,1707875337,2327.5911903542815
65343468,347808294,8996.163162901435
276546820,65291373,7296.974308864848
258964513,767842123,2102.8822933019014
8451935645,65301581,2170.780027134816
65311142,65350300,4748.313567706571
65291683,13036886711,8918.70802784532
65299159,65364781,4035.3679780451766
65295061,65327963,5210.583699469493
65314671,65302340,546.5132338147323
65360797,615405721,2703.0868103953585
65313621,258964518,2680.980337011336
65327438,65353349,8449.236720351726
65374771,65308188,5666.886553541825
65285911,65355354,6073.600300462501
65323377,65302633,8231.632310951081
65319080,65307897,6588.158575419682
65345887,65336339,2549.8342245383783
65326068,6319217960,10513.02928872058
65309454,4008988320,4027.498343171929
65369646,65281061,6247.062671549085
258911635,65330057,1615.7655438225838
1723739068,6319217963,2971.786123405766
318255177,287838597,6727.38450178557
2456072718,65320134,inf
65297066,1735964783,7914.450388284051
2304626359,65327998,6347.303800263249
65311377,65299451,12099.192208743088
984720819,4904249925,8913.666034970913
5858516713,65290947,2080.7322330911265
65295442,12498424404,7351.400410303765
65297595,65329570,4796.352280650064
65313614,5217784051,3541.2537943867533
258972881,65319889,9139.399619347712
12717144900,65290743,3325.4862895292317
65354336,554160560,1656.2680111054956
65280438,65327963,4020.6893178061346
612767847,65366846,13361.127501634366
65293108,65297028,6049.352199195677
65346810,65334101,1187.727157847322
65288282,65329635,6582.131397089192
65303500,65288852,5867.248576587256
4019282333,258911590,496.3997220517029
353696659,2568380120,1313.3380207183618
4021327365,65287705,5074.226254974992
65303962,65296808,12361.966293876827
65307796,65325395,9284.233766321582
65355983,65314325,1311.8182376324396
65294632,65347946,1732.3086703198624
65357294,65317986,9394.551230534558
259138840,1712504981,5921.013617341007
65319539,65280097,7511.560340970877
65305706,65317179,10763.388189053509
65280116,65309838,5018.216234127683
65308345,1350922023,1356.6569721458477
258916782,65339081,6756.950566214507
65296328,65287324,4637.215753205031
